,Offense,Month,Country,Income (K),Population,Age Group,Number of Offences
0,Domestic Violence,1,Brazil,80.0,240,2,200
1,Fraud,2,Brazil,81.0,250,2,200
2,Rape,3,Brazil,81.81,250,3,200
3,Burglary,4,Brazil,82.6281,250,4,200
4,Murder,5,Brazil,83.45438,250,5,200
5,Arson,6,Brazil,84.28892,250,6,192
6,Domestic Violence,7,Brazil,85.13181,355,1,192
7,Fraud,8,Brazil,85.98313,355,1,192
8,Rape,9,Brazil,86.84296,355,1,192
9,Burglary,10,Brazil,87.71139,355,1,192
10,Murder,11,Brazil,88.58851,355,1,192
11,Arson,12,Brazil,89.47439,355,1,192
12,Domestic Violence,1,Brazil,90.36914,355,2,192
13,Fraud,2,Brazil,91.27283,355,3,192
14,Rape,3,Brazil,92.18556,355,4,192
15,Burglary,4,Brazil,93.10741,355,5,193
16,Murder,5,Brazil,94.03849,355,6,193
17,Arson,6,Brazil,94.97887,355,1,193
18,Domestic Violence,7,Brazil,95.92866,355,1,193
19,Fraud,8,Brazil,96.88795,355,1,193
20,Rape,9,Brazil,97.85682,355,1,193
21,Burglary,10,Brazil,98.83539,355,1,193
22,Murder,11,Brazil,99.82375,355,1,193
23,Arson,12,Brazil,100.82198,355,1,193
24,Domestic Violence,1,Brazil,101.8302,355,2,193
25,Fraud,2,Brazil,102.84851,355,3,193
26,Rape,3,Brazil,103.87699,355,4,194
27,Burglary,4,Brazil,104.91576,360,5,194
28,Murder,5,Brazil,105.96492,360,6,194
29,Arson,6,Brazil,107.02457,360,1,194
30,Domestic Violence,7,Brazil,108.09481,360,1,194
31,Fraud,8,Brazil,109.17576,360,1,194
32,Rape,9,Brazil,110.26752,360,1,194
33,Burglary,10,Brazil,111.37019,360,1,194
34,Murder,11,Brazil,112.4839,360,1,195
35,Arson,12,Brazil,113.60874,360,1,195
36,Domestic Violence,1,Brazil,114.74482,360,2,195
37,Fraud,2,Brazil,115.89227,360,3,195
38,Rape,3,Brazil,117.05119,360,4,195
39,Burglary,4,Brazil,118.22171,360,5,195
40,Murder,5,Brazil,119.40392,360,6,195
41,Arson,6,Brazil,120.59796,360,1,195
42,Domestic Violence,1,Nigeria,150.0,240,2,200
43,Fraud,2,Nigeria,150.0,200,2,200
44,Rape,3,Nigeria,151.5,200,3,200
45,Burglary,4,Nigeria,153.015,200,4,200
46,Murder,5,Nigeria,154.54515,200,5,200
47,Arson,6,Nigeria,156.0906,200,6,192
48,Domestic Violence,7,Nigeria,157.65151,250,1,192
49,Fraud,8,Nigeria,159.22802,250,1,192
50,Rape,9,Nigeria,160.8203,250,1,192
51,Burglary,10,Nigeria,162.42851,250,1,192
52,Murder,11,Nigeria,164.05279,250,1,192
53,Arson,12,Nigeria,165.69332,250,1,192
54,Domestic Violence,1,Nigeria,167.35025,250,2,192
55,Fraud,2,Nigeria,169.02375,250,3,192
56,Rape,3,Nigeria,170.71399,250,4,192
57,Burglary,4,Nigeria,172.42113,250,5,193
58,Murder,5,Nigeria,174.14534,250,6,193
59,Arson,6,Nigeria,175.8868,250,1,193
60,Domestic Violence,7,Nigeria,177.64566,250,1,193
