39,77516, Bachelors, White, Male,40, United-States
50,83311, Bachelors, White, Male,13, United-States
38,215646, HS-grad, White, Male,40, United-States
53,234721, 11th, Black, Male,40, United-States
28,338409, Bachelors, Black, Female,40, Cuba
37,284582, Masters, White, Female,40, United-States
49,160187, 9th, Black, Female,16, Jamaica
52,209642, HS-grad, White, Male,45, United-States
31,45781, Masters, White, Female,50, United-States
42,159449, Bachelors, White, Male,40, United-States
37,280464, Some-college, Black, Male,80, United-States
30,141297, Bachelors, Asian-Pac-Islander, Male,40, India
23,122272, Bachelors, White, Female,30, United-States
32,205019, Assoc-acdm, Black, Male,50, United-States
40,121772, Assoc-voc, Asian-Pac-Islander, Male,40, NA
34,245487, 7th-8th, Amer-Indian-Eskimo, Male,45, Mexico
25,176756, HS-grad, White, Male,35, United-States
32,186824, HS-grad, White, Male,40, United-States
38,28887, 11th, White, Male,50, United-States
43,292175, Masters, White, Female,45, United-States
40,193524, Doctorate, White, Male,60, United-States
54,302146, HS-grad, Black, Female,20, United-States
35,76845, 9th, Black, Male,40, United-States
43,117037, 11th, White, Male,40, United-States
59,109015, HS-grad, White, Female,40, United-States
56,216851, Bachelors, White, Male,40, United-States
19,168294, HS-grad, White, Male,40, United-States
54,180211, Some-college, Asian-Pac-Islander, Male,60, South
39,367260, HS-grad, White, Male,80, United-States
49,193366, HS-grad, White, Male,40, United-States
23,190709, Assoc-acdm, White, Male,52, United-States
20,266015, Some-college, Black, Male,44, United-States
45,386940, Bachelors, White, Male,40, United-States
30,59951, Some-college, White, Male,40, United-States
22,311512, Some-college, Black, Male,15, United-States
48,242406, 11th, White, Male,40, Puerto-Rico
21,197200, Some-college, White, Male,40, United-States
19,544091, HS-grad, White, Female,25, United-States
31,84154, Some-college, White, Male,38, NA
48,265477, Assoc-acdm, White, Male,40, United-States
31,507875, 9th, White, Male,43, United-States
53,88506, Bachelors, White, Male,40, United-States
24,172987, Bachelors, White, Male,50, United-States
49,94638, HS-grad, White, Female,40, United-States
25,289980, HS-grad, White, Male,35, United-States
57,337895, Bachelors, Black, Male,40, United-States
53,144361, HS-grad, White, Male,38, United-States
44,128354, Masters, White, Female,40, United-States
41,101603, Assoc-voc, White, Male,40, United-States
29,271466, Assoc-voc, White, Male,43, United-States
25,32275, Some-college, Other, Female,40, United-States
18,226956, HS-grad, White, Female,30, NA
47,51835, Prof-school, White, Female,60, Honduras
50,251585, Bachelors, White, Male,55, United-States
47,109832, HS-grad, White, Male,60, United-States
43,237993, Some-college, White, Male,40, United-States
46,216666, 5th-6th, White, Male,40, Mexico
35,56352, Assoc-voc, White, Male,40, Puerto-Rico
41,147372, HS-grad, White, Male,48, United-States
30,188146, HS-grad, White, Male,40, United-States
30,59496, Bachelors, White, Male,40, United-States
32,293936, 7th-8th, White, Male,40, NA
48,149640, HS-grad, White, Male,40, United-States
42,116632, Doctorate, White, Male,45, United-States
29,105598, Some-college, White, Male,58, United-States
36,155537, HS-grad, White, Male,40, United-States
28,183175, Some-college, White, Female,40, United-States
53,169846, HS-grad, White, Female,40, United-States
49,191681, Some-college, White, Male,50, United-States
25,200681, Some-college, White, Male,40, United-States
19,101509, Some-college, White, Male,32, United-States
31,309974, Bachelors, Black, Female,40, United-States
29,162298, Bachelors, White, Male,70, United-States
23,211678, Some-college, White, Male,40, United-States
79,124744, Some-college, White, Male,20, United-States
27,213921, HS-grad, White, Male,40, Mexico
40,32214, Assoc-acdm, White, Male,40, United-States
67,212759, 10th, White, Male,2, United-States
18,309634, 11th, White, Female,22, United-States
31,125927, 7th-8th, White, Male,40, United-States
18,446839, HS-grad, White, Male,30, United-States
52,276515, Bachelors, White, Male,40, Cuba
46,51618, HS-grad, White, Female,40, United-States
59,159937, HS-grad, White, Male,48, United-States
44,343591, HS-grad, White, Female,40, United-States
53,346253, HS-grad, White, Female,35, United-States
49,268234, HS-grad, White, Male,40, United-States
33,202051, Masters, White, Male,50, United-States
30,54334, 9th, White, Male,40, United-States
43,410867, Doctorate, White, Female,50, United-States
57,249977, Assoc-voc, White, Male,40, United-States
37,286730, Some-college, White, Female,40, United-States
28,212563, Some-college, Black, Female,25, United-States
30,117747, HS-grad, Asian-Pac-Islander, Female,35, NA
34,226296, Bachelors, White, Male,40, United-States
29,115585, Some-college, White, Male,50, United-States
48,191277, Doctorate, White, Male,60, United-States
37,202683, Some-college, White, Male,48, United-States
48,171095, Assoc-acdm, White, Female,40, England
32,249409, HS-grad, Black, Male,40, United-States
76,124191, Masters, White, Male,40, United-States
44,198282, Bachelors, White, Male,60, United-States
47,149116, Masters, White, Female,50, United-States
20,188300, Some-college, White, Female,40, United-States
29,103432, HS-grad, White, Male,40, United-States
32,317660, HS-grad, White, Male,40, United-States
17,304873, 10th, White, Female,32, United-States
